Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
Hyundai,2019,I30,USED,Automatic,59649,22990,NSW,2.0
Holden,2015,UTE,USED,Automatic,91150,34990,NSW,6.0
Volvo,2014,XC60,USED,Automatic,106654,19888,WA,2.0
Kia,2007,Cerato,USED,Manual,139350,8990,NSW,2.0
Mazda,2010,BT-50,USED,Manual,137761,14990,SA,3.0
Holden,2013,Captiva,USED,Automatic,146735,12990,NSW,2.2
Kia,2021,Sportage,USED,Automatic,69586,28990,WA,2.0
Mitsubishi,2017,Triton,USED,Automatic,130277,27990,NSW,2.4
Volkswagen,2018,Tiguan,USED,Automatic,82668,39888,NSW,2.0
Mitsubishi,2016,Triton,USED,Manual,159987,23913,NSW,2.4
Toyota,2021,RAV4,USED,Automatic,38011,61990,NSW,2.5
Holden,2018,Calais,USED,Automatic,49082,29990,SA,2.0
Toyota,2012,Camry,USED,Automatic,78350,17999,WA,2.5
Kia,2018,Cerato,USED,Automatic,63268,21490,NSW,2.0
Toyota,2017,Hilux,USED,Automatic,115845,43990,WA,2.8
Mazda,2014,3,USED,Automatic,105330,22986,NSW,2.5
Renault,2015,Kangoo,USED,Manual,90143,16980,WA,1.5
Hyundai,2019,I30,USED,Automatic,54228,22990,NSW,2.0
Mitsubishi,2014,Triton,USED,Manual,171011,19800,NSW,2.5
Hyundai,2020,I30,USED,Automatic,47563,28990,NSW,2.0
Mitsubishi,2018,ASX,USED,Automatic,100692,21999,WA,2.0
Hyundai,2017,Iload,USED,Automatic,83078,34975,WA,2.5
Audi,2016,A3,USED,Automatic,94803,17999,NSW,1.4
Suzuki,2023,Jimny,USED,Automatic,15,44990,NSW,1.5
MG,2020,ZST,USED,Automatic,30726,26990,NSW,1.3
Mitsubishi,2015,Triton,USED,Automatic,171655,20990,NSW,2.5
Isuzu,2017,D-MAX,USED,Automatic,108515,39380,WA,3.0
Mercedes-Benz,2022,CLA,USED,Automatic,23544,68900,WA,1.3
Toyota,2023,RAV4,USED,Automatic,33,65888,NSW,2.5
Honda,2012,Civic,USED,Automatic,33700,19990,NSW,1.8
Hyundai,2013,I30,USED,Manual,144171,15990,NSW,1.8
Kia,2020,RIO,USED,Automatic,56546,25990,WA,1.0
Toyota,2020,Landcruiser,USED,Automatic,101433,57975,WA,2.8
Nissan,2012,Micra,USED,Automatic,78181,9750,NSW,1.2
Skoda,2013,Octavia,USED,Automatic,141042,13888,NSW,1.4
Mitsubishi,2021,Outlander,USED,Automatic,60586,29290,WA,2.4
Hyundai,2014,Imax,USED,Automatic,128035,24990,NSW,2.5
Hyundai,2014,Santa,USED,Automatic,120033,28990,WA,2.2
LDV,2019,V80,USED,Automatic,98887,42980,NSW,2.5
Toyota,2023,RAV4,USED,Automatic,536,61870,NSW,2.5
Mitsubishi,2015,Triton,USED,Automatic,137201,24990,NSW,2.4
Hyundai,2013,Imax,USED,Automatic,178361,19990,WA,2.5
Volkswagen,2018,Golf,USED,Automatic,66109,41800,NSW,2.0
LDV,2020,G10,USED,Automatic,112817,22990,WA,1.9
Hyundai,2013,Imax,USED,Automatic,162774,19990,NSW,2.5
Kia,2010,Sorento,USED,Automatic,132450,14999,NSW,2.3
Nissan,2013,Dualis,USED,Manual,181279,7990,NSW,2.0
Volvo,2019,XC40,USED,Automatic,69798,42990,NSW,2.0
Holden,2016,Colorado,USED,Automatic,187485,19990,NSW,2.8
Jeep,2013,Grand,USED,Automatic,112819,19888,WA,3.6
Mazda,2016,3,USED,Automatic,150002,19950,NSW,2.5
Toyota,2004,Corolla,USED,Manual,216301,5990,WA,1.8
Great,2012,Wall,USED,Manual,120074,10990,NSW,2.0
Toyota,2001,Corolla,USED,Automatic,156238,4700,NSW,1.8
Toyota,2017,Hilux,USED,Automatic,120291,42990,WA,2.8
Toyota,2020,RAV4,USED,Automatic,55401,44986,NSW,2.5
Nissan,2010,Navara,USED,Manual,207627,18990,NSW,2.5
Ford,2015,Mondeo,USED,Automatic,122542,16990,WA,2.0
Toyota,2010,Corolla,USED,Automatic,168648,12990,NSW,1.8
Hyundai,2010,Santa,USED,Automatic,200516,11990,NSW,2.2
Lexus,2015,NX200T,USED,Automatic,140878,27980,NSW,2.0
Volkswagen,2020,Amarok,USED,Automatic,28955,50888,WA,3.0
Holden,2013,Colorado,USED,Manual,184544,24990,WA,2.8
Ford,2014,Ranger,USED,Manual,276992,24990,NSW,3.2
Hyundai,2011,Iload,USED,Manual,234232,14990,NSW,2.5
Toyota,2010,Landcruiser,USED,Automatic,269033,34990,NSW,3.0
Audi,2019,A4,USED,Automatic,21546,64990,NSW,2.0
Kia,2020,Sportage,USED,Automatic,76115,25800,NSW,2.0
Kia,2019,Cerato,USED,Automatic,48244,33990,WA,1.6
Mazda,2007,BT-50,USED,Manual,225483,12800,NSW,3.0
Mazda,2022,CX-5,USED,Automatic,4880,41990,WA,2.5
Toyota,2014,Hilux,USED,Automatic,126021,21990,NSW,4.0
Hyundai,2013,IX35,USED,Automatic,110381,17990,WA,2.0
Volkswagen,2014,Touareg,USED,Automatic,148330,33995,NSW,3.0
Holden,2015,Colorado,USED,Automatic,213247,21999,NSW,2.8
Nissan,2019,X-Trail,USED,Automatic,83298,27986,NSW,2.5
Audi,2009,A3,USED,Automatic,234583,8990,NSW,1.8
Volkswagen,2020,T-Cross,USED,Automatic,61791,24990,WA,1.0
Skoda,2022,Karoq,USED,Automatic,2181,49880,NSW,1.4
Toyota,2020,Corolla,USED,Automatic,34420,39990,WA,1.8
Ford,2017,Ranger,USED,Automatic,146199,43888,WA,3.2
Mitsubishi,2009,Lancer,USED,Manual,134558,11995,NSW,2.0
Subaru,2018,Outback,USED,Automatic,151772,19990,NSW,2.5
Subaru,2022,WRX,USED,Automatic,22411,49999,WA,2.4
BMW,2015,118I,USED,Automatic,94751,19990,NSW,1.5
Holden,2017,Colorado,USED,Manual,109609,37985,NSW,2.8
Ford,2019,Mustang,USED,Automatic,26370,59990,WA,5.0
Mazda,2001,323,USED,Automatic,165000,3300,NSW,1.8
Volkswagen,2013,Transporter,USED,Manual,275235,22990,NSW,2.0
Mazda,2010,3,USED,Manual,92705,10999,NSW,2.0
Mitsubishi,2021,Outlander,USED,Automatic,41041,39490,WA,2.5
Toyota,2019,Hilux,USED,Automatic,177224,45490,NSW,2.8
BMW,2017,330I,USED,Automatic,59740,41998,WA,2.0
Volkswagen,2012,Golf,USED,Automatic,101687,22990,NSW,2.0
Toyota,2011,Camry,USED,Automatic,101700,17990,NSW,2.5
Audi,2007,A4,USED,Automatic,199987,13888,NSW,3.1
Nissan,2010,Navara,USED,Automatic,281986,11800,NSW,2.5
Mazda,2020,CX-5,USED,Automatic,74707,32950,NSW,2.5
MG,2017,6,USED,Automatic,38779,17450,WA,1.8
Toyota,2012,Kluger,USED,Automatic,132203,20999,NSW,3.5
Toyota,2016,Hilux,USED,Automatic,270096,28913,NSW,2.8
Nissan,2020,Navara,USED,Manual,28100,27990,NSW,2.3
Toyota,2019,Corolla,USED,Automatic,40279,33990,NSW,1.8
Ford,2019,Focus,USED,Automatic,31753,23999,WA,1.5
Toyota,2023,RAV4,USED,Automatic,45,55990,NSW,2.5
Toyota,2023,RAV4,USED,Automatic,1090,45990,NSW,2.0
Ford,2007,Ranger,USED,Automatic,237216,12990,NSW,3.0
Nissan,2016,X-Trail,USED,Automatic,162885,16990,NSW,1.6
Holden,2017,Commodore,USED,Automatic,183764,19990,WA,3.6
Toyota,2009,Hilux,USED,Automatic,317971,19999,NSW,3.0
Holden,2018,Colorado,USED,Automatic,48607,39990,NSW,2.8
Toyota,2009,Landcruiser,USED,Automatic,300043,26990,NSW,3.0
Toyota,2016,Hilux,USED,Automatic,245686,38990,NSW,2.8
Holden,2012,Commodore,USED,Automatic,58432,36990,NSW,6.0
MG,2022,HS,NEW,Automatic,36,28816,NSW,1.5
Ford,2010,Falcon,USED,Automatic,206956,9999,NSW,4.0
Mitsubishi,2020,ASX,USED,Automatic,44000,26490,WA,2.0
Mercedes-Benz,2016,CLS250,USED,Automatic,63402,49800,NSW,2.1
Volkswagen,2021,Amarok,USED,Automatic,29826,46950,NSW,2.0
Mitsubishi,2020,Triton,USED,Automatic,38610,48990,NSW,2.4
Toyota,2012,Landcruiser,USED,Automatic,247776,34990,NSW,3.0
Toyota,2012,Corolla,USED,Automatic,94860,18950,NSW,1.8
Ford,2022,Puma,USED,Automatic,11124,31888,WA,1.0
Lexus,2014,RX270,USED,Automatic,184543,24995,NSW,2.7
Toyota,2017,Kluger,USED,Automatic,145119,32990,NSW,3.5
Nissan,2006,X-Trail,USED,Automatic,158100,9990,NSW,2.5
Mitsubishi,2017,Lancer,USED,Automatic,78835,23990,NSW,2.0
Toyota,2023,Kluger,USED,Automatic,24,69990,NSW,2.5
Hyundai,2020,Kona,USED,Automatic,56686,23888,NSW,2.0
Toyota,2015,Hilux,USED,Manual,265442,23913,NSW,3.0
Nissan,2017,Qashqai,USED,Automatic,93153,24990,WA,2.0
Mazda,2011,6,USED,Automatic,188008,10986,NSW,2.5
Hyundai,2018,Elantra,USED,Automatic,105794,18888,NSW,2.0
Mitsubishi,2023,Outlander,NEW,Automatic,10,47760,NSW,2.5
Mercedes-Benz,2017,Vito,USED,Automatic,165923,28990,NSW,2.1
Nissan,2012,Navara,USED,Manual,192000,16990,WA,2.5
Mitsubishi,2014,ASX,USED,Automatic,69369,21990,NSW,2.0
Holden,2007,Captiva,USED,Automatic,205852,6800,NSW,3.2
Kia,2015,Carnival,USED,Automatic,210093,24950,NSW,3.3
Hyundai,2016,Tucson,USED,Automatic,69465,23885,NSW,2.0
Mitsubishi,2021,Outlander,USED,Automatic,46741,38990,WA,2.5
Holden,2016,Commodore,USED,Automatic,123800,26995,NSW,3.6
Subaru,2014,Impreza,USED,Automatic,130641,16850,NSW,2.0
Holden,2013,Commodore,USED,Automatic,143924,39990,NSW,6.0
Nissan,2015,Navara,USED,Manual,106814,36986,NSW,2.3
BMW,2008,X5,USED,Automatic,147538,18990,NSW,3.0
Hyundai,2012,Iload,USED,Manual,221000,17990,WA,2.5
Ford,2015,Everest,USED,Automatic,130875,41990,NSW,3.2
Holden,2012,Cruze,USED,Automatic,172467,6999,NSW,1.4
Jeep,2012,Grand,USED,Automatic,197610,12800,NSW,3.0
Ford,2018,Mondeo,USED,Automatic,156507,14990,NSW,2.0
Toyota,2021,C-HR,USED,Automatic,24878,40990,NSW,1.2
Nissan,2015,Patrol,USED,Automatic,59000,47990,WA,3.0
LDV,2020,D90,USED,Automatic,23763,30888,NSW,2.0
Jeep,2013,Grand,USED,Automatic,187400,19990,NSW,3.0
Toyota,2013,Kluger,USED,Automatic,125274,23513,NSW,3.5
Toyota,2014,Corolla,USED,Automatic,129850,18888,WA,1.8
Mitsubishi,2003,Triton,USED,Manual,186708,6995,NSW,2.4
Ford,2017,Ranger,USED,Automatic,157195,26990,NSW,2.2
Toyota,2020,RAV4,USED,Automatic,35525,41999,NSW,2.0
Hyundai,2016,Tucson,USED,Automatic,45819,27990,NSW,2.0
Holden,2006,Rodeo,USED,Manual,384500,9990,WA,3.0
Holden,2016,Commodore,USED,Automatic,130153,24990,NSW,3.6
Ford,2016,Focus,USED,Manual,49922,48990,NSW,2.3
Volkswagen,2013,Touareg,USED,Automatic,177873,19990,NSW,3.0
Volkswagen,2013,Amarok,USED,Manual,224623,12444,NSW,2.0
Toyota,2020,Yaris,USED,Automatic,53370,34990,NSW,1.5
Toyota,2017,Hilux,USED,Automatic,116000,24990,WA,2.7
Holden,2016,Commodore,USED,Manual,47940,32995,NSW,3.6
Mercedes-Benz,2014,ML250,USED,Automatic,152300,29990,NSW,2.1
Toyota,2016,FJ,USED,Automatic,94900,52790,NSW,4.0
Toyota,2013,Hilux,USED,Automatic,200056,32950,NSW,3.0
Mazda,2016,CX-5,USED,Automatic,80638,25986,NSW,2.0
Suzuki,2013,SX4,USED,Automatic,113520,9894,NSW,2.0
Audi,2015,A1,USED,Automatic,91343,21990,NSW,1.8
Volvo,2019,XC90,USED,Automatic,151015,49900,NSW,2.0
Nissan,2010,Maxima,USED,Automatic,105802,9800,NSW,3.5
Kia,2016,Sorento,USED,Automatic,163866,21990,NSW,2.2
Holden,2005,Astra,USED,Manual,122624,3999,NSW,2.2
Mitsubishi,2010,Pajero,USED,Automatic,230179,20990,NSW,3.2
Volkswagen,2011,Touareg,USED,Automatic,168223,19990,NSW,3.0
Renault,2023,Koleos,NEW,Automatic,8,51234,NSW,2.5
Audi,2018,A3,USED,Automatic,39972,32800,NSW,1.4
Honda,2019,CR-V,USED,Automatic,80602,28986,NSW,1.5
Toyota,2014,Hilux,USED,Automatic,77096,21500,NSW,2.7
Hyundai,2018,Santa,USED,Automatic,114449,39888,NSW,2.2
Toyota,2008,Kluger,USED,Automatic,250191,9850,NSW,3.5
Honda,2017,Odyssey,USED,Automatic,50000,38950,NSW,2.4
Lexus,2005,RX330,USED,Automatic,151505,11800,NSW,3.3
Ford,2010,Escape,USED,Automatic,106610,12990,NSW,2.3
Mazda,2017,CX-9,USED,Automatic,120507,28990,NSW,2.5
Lexus,2018,NX300,USED,Automatic,37980,56990,NSW,2.0
Subaru,2013,XV,USED,Manual,184281,12990,NSW,2.0
Nissan,2014,Micra,USED,Automatic,174697,6888,NSW,1.2
Isuzu,2018,D-MAX,USED,Automatic,128978,42995,NSW,3.0
Hyundai,2012,Veloster,USED,Manual,202000,10990,NSW,1.6
Mercedes-Benz,2016,GLC43,USED,Automatic,119828,48490,NSW,3.0
Mazda,2023,BT-50,NEW,Automatic,7,60888,NSW,3.0
Mercedes-Benz,2019,GLC200,USED,Automatic,46465,68990,NSW,2.0
Ssangyong,2023,Rexton,NEW,Automatic,7,48990,NSW,2.2
Ford,2008,Falcon,USED,Automatic,157557,6999,NSW,4.0
Ford,2013,Ranger,USED,Manual,113222,19950,NSW,2.2
LDV,2022,T60,USED,Automatic,13366,39990,NSW,2.0
Hyundai,2021,I30,USED,Manual,16828,59800,NSW,2.0
Hyundai,2023,Santa,NEW,Automatic,45,71897,NSW,2.2
Mazda,2001,Tribute,USED,Automatic,293647,4990,NSW,3.0
Holden,2018,Commodore,USED,Automatic,71523,24999,NSW,2.0
Toyota,2018,C-HR,USED,Automatic,112348,27990,NSW,1.2
Mazda,2023,BT-50,USED,Automatic,250,69990,NSW,3.0
Holden,2011,Caprice,USED,Automatic,257864,10800,NSW,6.0
Volvo,2015,XC60,USED,Automatic,196645,17800,NSW,2.4
Toyota,2018,Hilux,USED,Automatic,75863,59990,NSW,2.8
Holden,2008,Commodore,USED,Automatic,252100,18990,NSW,6.0
Ford,2015,Everest,USED,Automatic,190540,29990,NSW,3.2
Mercedes-Benz,2011,E250,USED,Automatic,93542,24995,NSW,1.8
Volvo,2011,XC90,USED,Automatic,224861,9990,NSW,3.2
GWM,2021,Haval,USED,Automatic,17584,34990,NSW,2.0
BMW,2011,320D,USED,Automatic,173100,14990,NSW,2.0
Toyota,2004,Landcruiser,USED,Automatic,329187,19950,NSW,4.7
Ssangyong,2023,Musso,NEW,Automatic,5,40290,NSW,2.2
Mazda,2014,CX-9,USED,Automatic,113000,25950,NSW,3.7
Holden,2009,Cruze,USED,Manual,59623,6750,NSW,1.8
Toyota,2023,Corolla,USED,Automatic,52,35970,NSW,2.0
Jeep,2015,Grand,USED,Automatic,127382,35990,NSW,3.0
Mitsubishi,2023,Triton,USED,Automatic,55,45880,NSW,2.4
Suzuki,2013,Swift,USED,Automatic,130617,13990,NSW,1.4
Kia,2022,Sportage,USED,Automatic,5860,41888,NSW,2.0
Mazda,2019,CX-5,USED,Automatic,65300,37990,NSW,2.5
Volkswagen,2018,Tiguan,USED,Automatic,58018,41990,NSW,2.0
Nissan,2011,Navara,USED,Manual,223551,15990,NSW,2.5
Holden,2009,Commodore,USED,Automatic,197168,8990,NSW,3.6
Toyota,2021,Hilux,USED,Automatic,39766,47950,NSW,2.8
Jeep,2015,Wrangler,USED,Automatic,106830,39999,NSW,3.6
Mitsubishi,2017,Triton,USED,Manual,216306,27990,NSW,2.4
Volkswagen,2009,Passat,USED,Automatic,160007,8980,NSW,2.0
Toyota,2016,Hilux,USED,Automatic,161994,24950,NSW,2.7
Isuzu,2018,MU-X,USED,Automatic,89550,34990,NSW,3.0
Hyundai,2014,I30,USED,Automatic,166805,9500,NSW,1.8
Jeep,2012,Grand,USED,Automatic,209380,14971,NSW,3.0
Jaguar,2009,XF,USED,Automatic,167680,18888,NSW,5.0
Nissan,2014,Qashqai,USED,Automatic,123413,19986,NSW,2.0
Subaru,2008,Impreza,USED,Manual,155359,34990,NSW,2.5
Skoda,2016,Fabia,USED,Automatic,83418,15800,NSW,1.2
Hyundai,2019,Sonata,USED,Automatic,134536,18888,NSW,2.4
Kia,2009,RIO,USED,Manual,182057,5800,NSW,1.4
Mercedes-Benz,2015,C250,USED,Automatic,99346,31980,NSW,2.0
Mazda,2017,BT-50,USED,Automatic,40790,44999,NSW,3.2
Hyundai,2011,IX35,USED,Automatic,199959,12913,NSW,2.4
Mazda,2022,CX-3,USED,Automatic,23619,30986,NSW,2.0
Holden,2019,Trailblazer,USED,Automatic,104750,44986,NSW,2.8
Holden,2016,Captiva,USED,Automatic,156652,12990,NSW,2.4
Toyota,2011,Hilux,USED,Automatic,160878,26850,NSW,3.0
Mazda,2014,BT-50,USED,Automatic,197942,19913,NSW,3.2
Honda,2008,Accord,USED,Automatic,66667,15990,NSW,2.4
Suzuki,2008,Grand,USED,Automatic,206258,11999,NSW,2.4
Toyota,2021,RAV4,USED,Automatic,68606,53760,NSW,2.5
Toyota,2002,Camry,USED,Automatic,102000,6999,NSW,2.4
Mitsubishi,2011,Triton,USED,Manual,270610,12990,NSW,2.5
Toyota,1998,Landcruiser,USED,Manual,415902,14800,NSW,4.2
Holden,2016,Colorado,USED,Manual,124847,24800,NSW,2.8
Mitsubishi,2017,ASX,USED,Automatic,151963,22990,NSW,2.3
Toyota,2019,Landcruiser,USED,Automatic,110717,49950,NSW,2.8
Toyota,2013,FJ,USED,Automatic,115630,52990,NSW,4.0
Hyundai,2019,Kona,USED,Automatic,44845,29888,NSW,2.0
BMW,2014,218I,USED,Automatic,176494,14800,NSW,1.5
Toyota,2021,Corolla,USED,Automatic,41556,30990,NSW,1.8
Kia,2017,Sportage,USED,Automatic,82206,29990,NSW,2.0
BMW,2016,X3,USED,Automatic,82657,35990,NSW,2.0
Toyota,2018,Hilux,USED,Manual,66914,29490,NSW,2.7
Isuzu,2013,D-MAX,USED,Automatic,200259,25800,NSW,3.0
Skoda,2018,Superb,USED,Automatic,150994,22990,NSW,2.0
Mercedes-Benz,2013,A250,USED,Automatic,96411,25888,NSW,2.0
Volvo,2010,XC60,USED,Automatic,91491,15999,NSW,3.0
Mercedes-Benz,2012,ML250,USED,Automatic,170208,18913,NSW,2.1
Ford,2016,Ranger,USED,Automatic,277934,29995,NSW,3.2
Honda,2005,Accord,USED,Automatic,176599,6999,NSW,2.4
Nissan,2011,Micra,USED,Automatic,119674,8865,NSW,1.2
Hyundai,2022,Tucson,USED,Automatic,21441,57888,NSW,2.0
Toyota,2016,RAV4,USED,Automatic,100488,20999,NSW,2.5
Volkswagen,2007,Jetta,USED,Automatic,207512,5840,NSW,2.0
Mitsubishi,2020,Outlander,USED,Automatic,50383,31990,NSW,2.4
Holden,2019,Calais,USED,Automatic,34587,37990,NSW,3.6
Mazda,2018,CX-5,USED,Automatic,42242,32990,NSW,2.0
Mitsubishi,2004,Magna,USED,Automatic,107999,6949,NSW,3.5
Ford,2019,Everest,USED,Automatic,127846,47888,NSW,2.0
Volkswagen,2020,Golf,USED,Automatic,48685,52556,NSW,2.0
Nissan,2009,Navara,USED,Manual,225227,13885,NSW,4.0
Honda,2007,Odyssey,USED,Automatic,268546,6999,NSW,2.4
Volkswagen,2016,Passat,USED,Automatic,50385,25490,NSW,1.8
Toyota,2016,Hilux,USED,Manual,167561,22467,NSW,2.4
Nissan,2015,Navara,USED,Manual,121500,23990,NSW,2.3
Volkswagen,2018,Tiguan,USED,Automatic,96402,38990,NSW,2.0
Holden,2007,Commodore,USED,Automatic,174240,5990,NSW,3.6
BMW,2015,X5,USED,Automatic,181659,32990,NSW,3.0
Hyundai,2014,Iload,USED,Automatic,142019,26800,NSW,2.5
Kia,2012,RIO,USED,Manual,142588,9990,NSW,1.4
Mercedes-Benz,2016,C250,USED,Automatic,98861,39800,NSW,2.1
GWM,2021,UTE,USED,Automatic,44454,40888,NSW,2.0
Ford,2004,Territory,USED,Automatic,159339,5995,NSW,4.0
Volkswagen,2018,Amarok,USED,Automatic,125071,39912,NSW,3.0
Mazda,2008,3,USED,Automatic,252686,6750,NSW,2.0
Toyota,2022,RAV4,USED,Automatic,12835,56990,NSW,2.5
Ford,2021,Ranger,USED,Automatic,26176,55990,NSW,2.0
Honda,2010,Accord,USED,Manual,114281,11913,NSW,2.4
Audi,2013,Q7,USED,Automatic,141048,20999,NSW,3.0
Land,2019,Rover,USED,Automatic,57274,59990,NSW,2.0
Hyundai,2007,Santa,USED,Automatic,221807,6995,NSW,2.2
Nissan,2021,Navara,USED,Automatic,49529,49990,NSW,2.3
Jeep,2019,Renegade,USED,Manual,66014,17990,NSW,1.6
Ford,2018,Ranger,USED,Automatic,141035,36990,NSW,3.2
Toyota,2018,RAV4,USED,Automatic,129320,27986,NSW,2.0
Kia,2020,Cerato,USED,Automatic,44859,26995,NSW,2.0
Volkswagen,2013,Touareg,USED,Automatic,174061,22888,NSW,3.0
Mercedes-Benz,2014,ML63,USED,Automatic,112072,64990,NSW,5.5
Skoda,2018,Karoq,USED,Manual,86989,19990,NSW,1.5
Audi,2017,Q2,USED,Automatic,72292,29990,NSW,2.0
GWM,2021,Haval,USED,Automatic,10206,34990,NSW,2.0
Ford,2009,Falcon,USED,Automatic,171500,11990,NSW,4.0
Nissan,2005,Navara,USED,Manual,411737,11990,NSW,3.0
Subaru,2018,Forester,USED,Automatic,40585,34990,NSW,2.5
Mazda,2012,CX-9,USED,Automatic,63361,21913,NSW,3.7
Ford,2018,Ranger,USED,Automatic,179317,29800,NSW,3.2
Lexus,2019,RX300,USED,Automatic,56801,49990,NSW,2.0
Subaru,2019,Forester,USED,Automatic,46510,36990,NSW,2.5
MG,2023,HS,NEW,Automatic,15,48990,NSW,1.5
Ford,2007,Falcon,USED,Automatic,137837,11990,NSW,4.0
Kia,2022,Picanto,USED,Automatic,51,23888,NSW,1.2
BMW,2018,X6,USED,Automatic,99100,58990,NSW,3.0
Ford,2017,Everest,USED,Automatic,135834,40888,NSW,3.2
Mercedes-Benz,2000,A190,USED,Automatic,104431,6990,NSW,1.9
Mazda,2019,BT-50,USED,Automatic,18938,32990,NSW,2.2
Volvo,2014,XC90,USED,Automatic,126477,20913,NSW,3.2
Mitsubishi,2009,Lancer,USED,Manual,190628,6913,NSW,2.0
Toyota,2015,Kluger,USED,Automatic,62800,34999,NSW,3.5
Hyundai,2019,Tucson,USED,Automatic,75334,29999,NSW,2.0
Mitsubishi,2018,Triton,USED,Automatic,44246,39990,NSW,2.4
Mitsubishi,2018,Triton,USED,Automatic,87360,39999,NSW,2.4
Toyota,2017,Kluger,USED,Automatic,238416,24800,NSW,3.5
Mazda,2021,CX-30,USED,Automatic,18698,32990,NSW,2.0
Volkswagen,2010,Caravelle,USED,Automatic,200403,39990,NSW,2.0
Ford,2014,Focus,USED,Manual,64940,24990,NSW,2.0
Ford,2015,Focus,USED,Manual,150787,17990,NSW,2.0
Holden,2016,Barina,USED,Automatic,74950,14990,NSW,1.6
Toyota,2021,Camry,USED,Automatic,16307,49888,NSW,2.5
Volvo,2009,C30,USED,Automatic,53969,10913,NSW,2.5
Volvo,2014,XC90,USED,Automatic,194177,16800,NSW,2.4
Mitsubishi,2016,Triton,USED,Manual,201247,19413,NSW,2.4
Mazda,2016,BT-50,USED,Manual,133568,36990,NSW,3.2
Renault,2023,Koleos,NEW,Automatic,8,49290,NSW,2.5
Lexus,2015,RC200T,USED,Automatic,65548,44900,NSW,2.0
Volkswagen,2012,Amarok,USED,Manual,153502,22990,QLD,2.0
Mazda,2014,BT-50,USED,Manual,207705,17800,NSW,3.2
Subaru,2014,Forester,USED,Automatic,240795,12800,NSW,2.5
GWM,2023,UTE,NEW,Automatic,11,43490,NSW,2.0
Toyota,2019,Camry,USED,Automatic,92189,27789,NSW,2.5
Mazda,2012,3,USED,Manual,185178,9913,NSW,2.0
Mercedes-Benz,2017,E300,USED,Automatic,35200,73800,NSW,2.0
Mazda,2014,3,USED,Manual,166505,13999,NSW,2.0
Kia,2022,Stonic,USED,Automatic,20254,22885,NSW,1.4
Honda,2021,Civic,USED,Automatic,8526,43888,NSW,1.5
Volvo,2009,XC60,USED,Automatic,231077,9990,NSW,3.0
Ford,2017,Ecosport,USED,Automatic,50599,18950,NSW,1.5
Volkswagen,2015,Polo,USED,Manual,124810,13999,NSW,1.2
Volkswagen,2022,T-ROC,NEW,Automatic,5,57490,NSW,2.0
Volkswagen,2014,Touareg,USED,Automatic,239375,18913,NSW,3.0
Volkswagen,2008,Tiguan,USED,Manual,262547,6100,NSW,2.0
Holden,2014,Captiva,USED,Automatic,166442,12999,NSW,2.4
Ford,2022,Everest,USED,Automatic,6109,61880,NSW,2.0
Hyundai,2014,Elantra,USED,Automatic,153259,13413,NSW,1.8
Kia,2009,Cerato,USED,Automatic,71800,10990,NSW,2.0
Hyundai,2017,Tucson,USED,Automatic,97661,24690,NSW,2.0
Honda,2017,Civic,USED,Automatic,182097,22990,NSW,1.8
Toyota,2016,Landcruiser,USED,Manual,169215,69990,NSW,4.5
Mitsubishi,2004,Lancer,USED,Automatic,70014,5999,NSW,2.0
Mazda,2023,BT-50,NEW,Automatic,7,68288,NSW,3.0
Mazda,2018,3,USED,Automatic,83141,21990,NSW,2.0
Toyota,2019,C-HR,USED,Automatic,76683,36990,NSW,1.2
Mazda,2013,CX-5,USED,Automatic,196641,15998,NSW,2.0
Nissan,2013,X-Trail,USED,Automatic,155592,15990,NSW,2.0
Volkswagen,2022,Arteon,NEW,Automatic,16,73879,VIC,2.0
Kia,2015,Carnival,USED,Automatic,74402,31999,NSW,2.2
Mitsubishi,2020,Outlander,USED,Automatic,43642,30990,NSW,2.4
Volkswagen,2022,Tiguan,USED,Automatic,8450,55990,NSW,2.0
Mitsubishi,2021,Pajero,USED,Automatic,43811,47990,NSW,2.4
Mercedes-Benz,2005,E240,USED,Automatic,207619,5999,NSW,2.6
Toyota,2017,Hilux,USED,Manual,176520,44990,NSW,2.8
Volkswagen,2013,Golf,USED,Automatic,117753,21888,NSW,2.0
Mitsubishi,2020,ASX,USED,Automatic,50572,29888,NSW,2.0
Toyota,2021,Hilux,USED,Automatic,57975,59986,NSW,2.8
GWM,2023,Haval,NEW,Automatic,11,37485,NSW,1.5
Mazda,2018,CX-5,USED,Automatic,7289,38990,NSW,2.5
Hyundai,2017,Santa,USED,Automatic,141432,26990,NSW,2.2
Volkswagen,2021,Golf,USED,Automatic,13220,72998,NSW,2.0
Mitsubishi,2013,Triton,USED,Automatic,303937,13990,NSW,2.5
Kia,2016,Sportage,USED,Automatic,99301,24850,NSW,2.0
Mitsubishi,2018,Eclipse,USED,Automatic,83838,31990,NSW,1.5
Holden,2014,Commodore,USED,Manual,54858,49888,VIC,6.0
Volvo,2017,S60,USED,Automatic,85417,26890,NSW,2.0
Cupra,2022,Formentor,USED,Automatic,1000,67990,NSW,2.0
Nissan,2019,Pathfinder,USED,Automatic,46615,29800,NSW,3.5
Mitsubishi,2020,ASX,USED,Automatic,64002,31990,NSW,2.0
Toyota,2019,Hilux,USED,Automatic,79979,63990,NSW,2.8
Subaru,2014,Forester,USED,Automatic,105628,22999,NSW,2.5
